Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,7493.0,7355.0,129.0
Andhra Pradesh,1924421.0,1884202.0,13024.0
Arunachal Pradesh,40383.0,36274.0,191.0
Assam,536238.0,510432.0,4865.0
Bihar,723355.0,712947.0,9619.0
Chandigarh,61841.0,60939.0,809.0
Chhattisgarh,998270.0,980275.0,13478.0
Dadra and Nagar Haveli and Daman and Diu,10588.0,10563.0,4.0
Delhi,1435128.0,1409417.0,25018.0
Goa,168824.0,163957.0,3097.0
Gujarat,824274.0,813399.0,10074.0
Haryana,769307.0,758849.0,9556.0
Himachal Pradesh,203719.0,199020.0,3492.0
Jammu and Kashmir,318848.0,311782.0,4357.0
Jharkhand,346371.0,340862.0,5119.0
Karnataka,2872684.0,2801907.0,35896.0
Kerala,3073134.0,2946870.0,14686.0
Ladakh,20204.0,19894.0,206.0
Lakshadweep,10020.0,9851.0,49.0
Madhya Pradesh,790193.0,780735.0,10506.0
Maharashtra,6165402.0,5927756.0,126024.0
Manipur,78621.0,69814.0,1287.0
Meghalaya,54853.0,49830.0,913.0
Mizoram,24702.0,19803.0,112.0
Nagaland,26052.0,24582.0,511.0
Odisha,941745.0,915400.0,4662.0
Puducherry,119057.0,115873.0,1771.0
Punjab,597714.0,580027.0,16193.0
Rajasthan,953159.0,943553.0,8945.0
Sikkim,22397.0,19855.0,317.0
Tamil Nadu,2521438.0,2456165.0,33454.0
Telangana,632379.0,618496.0,3735.0
Tripura,71315.0,66353.0,717.0
Uttarakhand,341230.0,332957.0,7341.0
Uttar Pradesh,1707446.0,1683170.0,22700.0
West Bengal,1513014.0,1480556.0,17927.0
National Total,30905819.0,30063720.0,410784.0
