Region,Recovered/Migrated,Deceased,Confirmed
Andaman and Nicobar Islands,33.0,0.0,33.0
Andhra Pradesh,2378.0,64.0,3783.0
Arunachal Pradesh,1.0,0.0,22.0
Assam,277.0,4.0,1390.0
Bihar,1900.0,24.0,3926.0
Chandigarh,199.0,4.0,294.0
Chhattisgarh,122.0,1.0,547.0
Dadra and Nagar Haveli and Daman and Diu,1.0,0.0,3.0
Delhi,8746.0,523.0,20834.0
Goa,42.0,0.0,71.0
Gujarat,10780.0,1063.0,17200.0
Haryana,1055.0,21.0,2356.0
Himachal Pradesh,122.0,5.0,340.0
Jammu and Kashmir,946.0,31.0,2601.0
Jharkhand,296.0,5.0,659.0
Karnataka,1328.0,52.0,3408.0
Kerala,608.0,10.0,1326.0
Ladakh,43.0,0.0,77.0
Madhya Pradesh,5003.0,358.0,8283.0
Maharashtra,30108.0,2362.0,70013.0
Manipur,11.0,0.0,83.0
Meghalaya,12.0,1.0,27.0
Mizoram,1.0,0.0,1.0
Nagaland,0.0,0.0,43.0
Odisha,1245.0,7.0,2104.0
Puducherry,25.0,0.0,74.0
Punjab,2000.0,45.0,2301.0
Rajasthan,6040.0,198.0,8980.0
Sikkim,0.0,0.0,1.0
Tamil Nadu,13170.0,184.0,23495.0
Telangana,1491.0,88.0,2792.0
Tripura,173.0,0.0,420.0
Uttarakhand,222.0,6.0,958.0
Uttar Pradesh,4843.0,217.0,8075.0
West Bengal,2306.0,325.0,5772.0
National Total,95527.0,5598.0,192292.0
