Region,Confirmed,Recovered/Migrated,Deceased
Andaman and Nicobar Islands,5029.0,4961.0,62.0
Andhra Pradesh,891388.0,882981.0,7180.0
Arunachal Pradesh,16840.0,16780.0,56.0
Assam,217766.0,215041.0,1097.0
Bihar,262937.0,261064.0,1549.0
Chandigarh,22832.0,21539.0,357.0
Chhattisgarh,316311.0,308854.0,3880.0
Dadra and Nagar Haveli and Daman and Diu,3431.0,3405.0,2.0
Delhi,642870.0,629841.0,10936.0
Goa,55758.0,54209.0,804.0
Gujarat,276622.0,268196.0,4420.0
Haryana,274273.0,268397.0,3069.0
Himachal Pradesh,59527.0,57818.0,1003.0
Jammu and Kashmir,127436.0,124578.0,1971.0
Jharkhand,120524.0,118922.0,1093.0
Karnataka,958417.0,937898.0,12386.0
Kerala,1087443.0,1050603.0,4369.0
Ladakh,9846.0,9686.0,130.0
Lakshadweep,587.0,380.0,1.0
Madhya Pradesh,267176.0,258958.0,3883.0
Maharashtra,2282191.0,2117744.0,52723.0
Manipur,29310.0,28907.0,373.0
Meghalaya,13986.0,13818.0,148.0
Mizoram,4435.0,4416.0,10.0
Nagaland,12221.0,12120.0,91.0
Odisha,338056.0,335499.0,1917.0
Puducherry,39984.0,39128.0,670.0
Punjab,194753.0,178271.0,6030.0
Rajasthan,322518.0,317487.0,2789.0
Sikkim,6183.0,5994.0,135.0
Tamil Nadu,858272.0,841250.0,12539.0
Telangana,300933.0,297363.0,1652.0
Tripura,33427.0,33026.0,391.0
Uttarakhand,97700.0,95362.0,1700.0
Uttar Pradesh,604958.0,594396.0,8743.0
West Bengal,577788.0,564368.0,10287.0
National Total,11333728.0,10973260.0,158446.0
